 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 215.53 sec, current time: 516949817.08)
0.131	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.137	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.137	                       -	                   -	Blocking app contact
0.180	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.180	                       -	                   -	Creating a new encryption key
3.356	                       -	                   -	Allowing apps to contact us
3.357	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
3.367	                       -	                   -	Liveness: 1 -> 2 (server_show_windows_for_asns)
3.368	                       -	                   -	server_show_windows_for_asns start
3.370	                       -	                   -	TAL launch still in progress because Finder has not checked in
3.370	                       -	                   -	Still waiting for registration from Finder
3.371	                       -	                   -	Liveness: 2 -> 3 (add_app)
3.371	                       -	                   -	Finder not yet launched, but pretending it is
3.374	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
3.374	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
3.374	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
3.412	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
3.413	        com.apple.finder	                   -	Disposing because it has no windows
3.413	        com.apple.finder	            Disposed	
3.413	                       -	                   -	server_show_windows_for_asns end
4.016	                       -	                   -	TAL launch still in progress because Finder has not checked in
4.016	                       -	                   -	Still waiting for registration from Finder
5.100	                       -	                   -	TAL launch still in progress because Finder has not checked in
5.100	                       -	                   -	Still waiting for registration from Finder
5.415	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
13.370	                       -	                   -	Assuming that all apps that will be started, have been started. Stopped apps will no longer delay TAL launch completion.
13.370	                       -	                   -	TAL launch still in progress because Finder has not checked in
13.370	                       -	                   -	Still waiting for registration from Finder
15.134	                       -	                   -	Liveness: 2 -> 1 (__run_as_server_block_invoke)
16.102	                       -	                   -	TAL launch still in progress because Finder has not checked in
16.102	                       -	                   -	Still waiting for registration from Finder
19.454	        com.apple.finder	                   -	Finder checked in
19.454	                       -	                   -	All started apps have registered (no remaining unregistered apps)
19.456	                       -	                   -	Waiting for Dock...
19.457	                       -	                   -	Dock is avaialable.
19.457	                       -	                   -	Liveness: 1 -> 2 (_wait_for_dock)
19.457	                       -	                   -	TAL Relaunch - all apps registered as ready
19.457	                       -	                   -	Liveness: 2 -> 1 (__server_show_windows_for_asns_block_invoke.34)
19.458	                       -	                   -	Liveness: 1 -> 0 (___wait_for_dock_block_invoke_3)
19.458	                       -	                   -	Exiting out of boredom
